analysis_id,analysis_user_input,analysis_timestamp,faq_id
1,"How old are you?","2019-03-12 11:54:58",4
2,"How old are you?","2019-03-12 11:54:58",4
3,"Where is Oneconnect?","2019-03-12 13:35:18",-1
4,"How old are you?","2019-03-12 13:38:30",4
5,"Where is OneConnect?","2019-03-12 15:39:05",-1
6,Hello?,"2019-03-12 15:39:22",-1
7,"Where is OneConnect?","2019-03-12 15:45:50",-1
8,"Where is ONECONNECT?","2019-03-13 15:21:21",-1
9,"Where is ONECONNECT?","2019-03-13 15:25:25",-1
10,"Where is ONECONNECT?","2019-03-13 15:42:11",-1
11,Hello,"2019-03-13 15:42:55",-1
12,"Guess what is my current mood?","2019-03-13 15:43:18",11
13,"Guess what is my current mood?","2019-03-22 11:04:22",11
14,sad,"2019-03-22 11:04:29",13
15,"what is the number of employees in oneconnect singapore?","2019-03-22 11:29:45",6
16,"what is the number of employees in oneconnect China?","2019-03-22 11:30:26",5
17,"what is the number of employees?","2019-03-22 11:36:13",5
18,"Guess what is my current mood?","2019-03-22 11:57:18",11
19,"Guess what is my current mood?","2019-03-22 11:57:57",11
20,happy,"2019-03-22 11:58:00",12
21,sad,"2019-03-22 11:58:06",13
22,sad,"2019-03-22 11:58:10",13
23,sad,"2019-03-22 11:58:13",13
24,"Guess what is my current mood?","2019-03-22 12:04:16",11
25,sad,"2019-03-22 12:04:17",13
26,"Guess what is my current mood?","2019-03-22 12:04:55",11
27,sad,"2019-03-22 12:04:58",13
28,"Guess what is my current mood?","2019-03-22 12:08:30",11
29,sad,"2019-03-22 12:08:32",13
30,"Hello, chatbot","2019-03-27 15:56:10",8
31,"Hello,chatbot","2019-03-27 15:56:39",8
32,"Guess what is my current mood?","2019-03-27 15:57:27",11
33,Hello,"2019-03-27 16:04:21",-1
34,"Hello, Chatbot","2019-03-27 16:04:30",8
35,"How are you?","2019-04-02 11:14:52",-1
36,"What the hell?","2019-04-02 11:15:04",-1
37,Hello?,"2019-04-02 11:15:14",-1
38,"Excuse me?","2019-04-02 11:15:20",-1
39,"Hello, Chatbot","2019-04-02 11:15:34",8
40,"Guess what is my current mood?","2019-04-02 11:17:55",11
41,"I love rirakkuma","2019-04-02 11:24:36",-1
42,"I want Rilakkuma!","2019-04-02 11:24:58",9
43,"I want rirakkuma","2019-04-02 11:28:55",-1
44,"I want Rilakkuma!","2019-04-02 11:29:27",9
45,Hello,"2019-04-02 12:00:37",-1
46,Hello,"2019-04-02 13:56:48",-1
47,"Hello, chatbot","2019-04-02 13:56:53",8
48,Hello,"2019-04-02 14:03:45",-1
49,"Guess what is my current mood?","2019-04-02 14:03:56",11
50,happy,"2019-04-02 14:03:59",12
51,sad,"2019-04-02 14:04:00",13
52,"How are you?","2019-04-02 14:16:07",-1
53,"I want rilakkuma!","2019-04-02 14:16:30",9
54,"I want Rilakkuma!","2019-04-02 14:16:53",9
55,hello,"2019-04-02 14:31:19",-1
56,Hello,"2019-04-08 22:29:06",-1
57,"What's your name?","2019-04-08 22:29:17",2
58,"Where is ONECONNECT?","2019-04-08 22:29:41",1
59,Hello,"2019-04-09 10:16:09",-1
60,Hello,"2019-04-09 10:17:01",-1
61,Hello?,"2019-04-09 10:17:18",-1
62,Hello,"2019-04-09 10:23:49",-1
63,"What is the building?","2019-04-09 10:24:01",2
64,"Guess what is my current mood?","2019-04-09 10:24:17",11
65,happy,"2019-04-09 10:24:24",12
66,sad,"2019-04-09 10:24:27",13
67,Hello,"2019-04-10 10:01:02",-1
68,Hello,"2019-04-10 10:07:34",-1
69,Hello,"2019-04-10 10:07:58",-1
70,Hello,"2019-04-10 10:09:06",-1
71,Hello,"2019-04-10 10:10:43",-1
72,Hello,"2019-04-10 10:13:48",-1
73,Hello,"2019-04-10 10:13:57",-1
74,Hello,"2019-04-10 10:15:57",-1
75,Hello,"2019-04-10 10:16:02",-1
76,Hello,"2019-04-10 10:17:02",-1
77,Hello,"2019-04-10 10:18:21",-1
78,Hello,"2019-04-10 10:18:24",-1
79,"What's the building name?","2019-04-10 10:49:55",2
80,"what's your name?","2019-04-10 10:50:03",2
81,Hello,"2019-04-10 10:51:33",-1
82,"I want rilakkuma","2019-04-10 10:51:55",9
83,"Guess what is my current mood?","2019-04-10 10:52:12",11
84,happy,"2019-04-10 10:52:15",12
85,sad,"2019-04-10 10:52:15",13
86,Hello,"2019-04-10 10:52:44",-1
87,Hello,"2019-04-10 10:54:41",-1
88,Hello,"2019-04-10 10:54:44",-1
89,"What's the building?","2019-04-10 13:33:50",2
90,"What's the?","2019-04-10 13:33:55",3
91,Hello,"2019-04-10 14:27:18",-1
92,"Where is ONECONNECT?","2019-04-10 14:27:54",1
93,"What's the building name?","2019-04-10 14:28:26",2
94,"Guess what is my current mood?","2019-04-10 14:28:55",11
95,happy,"2019-04-10 14:29:10",12
96,sad,"2019-04-10 14:29:15",13
97,"What is the location of ONECONNECT?","2019-04-10 14:31:49",2
98,Hello,"2019-04-10 14:41:19",-1
99,Hello,"2019-04-10 14:41:22",-1
100,Hello,"2019-04-10 14:41:24",-1
